 X,Y,I,J,PERIOD
   737791.,  5082045.,  6, 15,      6.862E-03
   737791.,  5082095.,  6, 16,      6.855E-03
   737791.,  5082145.,  6, 17,      6.750E-03
   737791.,  5082195.,  6, 18,      6.550E-03
   737791.,  5082245.,  6, 19,      6.304E-03
   737791.,  5082295.,  6, 20,      6.083E-03
   737791.,  5082345.,  6, 21,      5.954E-03
   737791.,  5082395.,  6, 22,      5.956E-03
   737791.,  5082445.,  6, 23,      6.059E-03
   737791.,  5082495.,  6, 24,      6.171E-03
   737791.,  5082545.,  6, 25,      6.197E-03
   737791.,  5082595.,  6, 26,      6.112E-03
   737791.,  5082645.,  6, 27,      5.955E-03
   737791.,  5082695.,  6, 28,      5.796E-03
   737791.,  5082745.,  6, 29,      5.672E-03
   737791.,  5082795.,  6, 30,      5.559E-03
   737791.,  5082845.,  6, 31,      5.400E-03
   737791.,  5082895.,  6, 32,      5.164E-03
   737791.,  5082945.,  6, 33,      4.857E-03
   737791.,  5082995.,  6, 34,      4.497E-03
   737791.,  5083045.,  6, 35,      4.122E-03
   737791.,  5083095.,  6, 36,      3.769E-03
   737791.,  5083145.,  6, 37,      3.460E-03
   737791.,  5083195.,  6, 38,      3.217E-03
   737791.,  5083245.,  6, 39,      3.049E-03
   737791.,  5083295.,  6, 40,      2.967E-03
   737791.,  5083345.,  6, 41,      2.959E-03
   737791.,  5083395.,  6, 42,      3.002E-03
   737791.,  5083445.,  6, 43,      3.066E-03
   737791.,  5083495.,  6, 44,      3.106E-03
   737791.,  5083545.,  6, 45,      3.079E-03
   737791.,  5083595.,  6, 46,      2.987E-03
   737791.,  5083645.,  6, 47,      2.870E-03
   737791.,  5083695.,  6, 48,      2.760E-03
   737791.,  5083745.,  6, 49,      2.648E-03
   737791.,  5083795.,  6, 50,      2.508E-03
   737791.,  5083845.,  6, 51,      2.369E-03
   737791.,  5083895.,  6, 52,      2.269E-03
   737791.,  5083945.,  6, 53,      2.214E-03
   737791.,  5083995.,  6, 54,      2.175E-03
   737791.,  5084045.,  6, 55,      2.125E-03
   737791.,  5084095.,  6, 56,      2.068E-03
