 X,Y,I,J,PCT1H
   737691.,  5085845.,  4, 91,      1.126E-03
   737691.,  5085895.,  4, 92,      1.061E-03
   737691.,  5085945.,  4, 93,      9.989E-04
   737691.,  5085995.,  4, 94,      9.289E-04
   737691.,  5086045.,  4, 95,      8.715E-04
   737691.,  5086095.,  4, 96,      8.191E-04
   737691.,  5086145.,  4, 97,      7.748E-04
   737691.,  5086195.,  4, 98,      7.247E-04
   737691.,  5086245.,  4, 99,      6.859E-04
   737691.,  5086295.,  4,100,      6.425E-04
   737741.,  5081345.,  5,  1,      5.559E-02
   737741.,  5081395.,  5,  2,      6.934E-02
   737741.,  5081445.,  5,  3,      7.845E-02
   737741.,  5081495.,  5,  4,      8.688E-02
   737741.,  5081545.,  5,  5,      9.004E-02
   737741.,  5081595.,  5,  6,      9.216E-02
   737741.,  5081645.,  5,  7,      9.137E-02
   737741.,  5081695.,  5,  8,      9.321E-02
   737741.,  5081745.,  5,  9,      9.179E-02
   737741.,  5081795.,  5, 10,      9.450E-02
   737741.,  5081845.,  5, 11,      9.681E-02
   737741.,  5081895.,  5, 12,      1.039E-01
   737741.,  5081945.,  5, 13,      1.048E-01
   737741.,  5081995.,  5, 14,      1.011E-01
   737741.,  5082045.,  5, 15,      9.557E-02
   737741.,  5082095.,  5, 16,      9.229E-02
   737741.,  5082145.,  5, 17,      9.010E-02
   737741.,  5082195.,  5, 18,      8.754E-02
   737741.,  5082245.,  5, 19,      8.174E-02
   737741.,  5082295.,  5, 20,      8.284E-02
   737741.,  5082345.,  5, 21,      8.286E-02
   737741.,  5082395.,  5, 22,      8.538E-02
   737741.,  5082445.,  5, 23,      8.704E-02
   737741.,  5082495.,  5, 24,      8.578E-02
   737741.,  5082545.,  5, 25,      8.799E-02
   737741.,  5082595.,  5, 26,      8.215E-02
   737741.,  5082645.,  5, 27,      7.945E-02
   737741.,  5082695.,  5, 28,      7.776E-02
   737741.,  5082745.,  5, 29,      7.565E-02
   737741.,  5082795.,  5, 30,      7.067E-02
   737741.,  5082845.,  5, 31,      6.763E-02
   737741.,  5082895.,  5, 32,      6.354E-02
   737741.,  5082945.,  5, 33,      5.946E-02
   737741.,  5082995.,  5, 34,      5.255E-02
   737741.,  5083045.,  5, 35,      4.370E-02
   737741.,  5083095.,  5, 36,      4.147E-02
   737741.,  5083145.,  5, 37,      3.579E-02
   737741.,  5083195.,  5, 38,      3.223E-02
   737741.,  5083245.,  5, 39,      2.719E-02
   737741.,  5083295.,  5, 40,      2.601E-02
   737741.,  5083345.,  5, 41,      2.488E-02
   737741.,  5083395.,  5, 42,      2.418E-02
   737741.,  5083445.,  5, 43,      2.516E-02
   737741.,  5083495.,  5, 44,      2.531E-02
   737741.,  5083545.,  5, 45,      2.444E-02
   737741.,  5083595.,  5, 46,      2.318E-02
   737741.,  5083645.,  5, 47,      2.264E-02
   737741.,  5083695.,  5, 48,      2.068E-02
   737741.,  5083745.,  5, 49,      1.921E-02
   737741.,  5083795.,  5, 50,      1.693E-02
   737741.,  5083845.,  5, 51,      1.618E-02
   737741.,  5083895.,  5, 52,      1.439E-02
   737741.,  5083945.,  5, 53,      1.382E-02
   737741.,  5083995.,  5, 54,      1.203E-02
   737741.,  5084045.,  5, 55,      1.179E-02
