 X,Y,I,J,MAX1H,NSUP1H,EPISODES,DURMAX
   737691.,  5082845.,  4, 31,      4.391E-01,     0,     0,    0.
   737691.,  5082895.,  4, 32,      4.866E-01,     0,     0,    0.
   737691.,  5082945.,  4, 33,      4.569E-01,     0,     0,    0.
   737691.,  5082995.,  4, 34,      4.455E-01,     0,     0,    0.
   737691.,  5083045.,  4, 35,      5.055E-01,     0,     0,    0.
   737691.,  5083095.,  4, 36,      5.523E-01,     0,     0,    0.
   737691.,  5083145.,  4, 37,      5.147E-01,     0,     0,    0.
   737691.,  5083195.,  4, 38,      4.248E-01,     0,     0,    0.
   737691.,  5083245.,  4, 39,      3.333E-01,     0,     0,    0.
   737691.,  5083295.,  4, 40,      3.552E-01,     0,     0,    0.
   737691.,  5083345.,  4, 41,      4.528E-01,     0,     0,    0.
   737691.,  5083395.,  4, 42,      5.083E-01,     0,     0,    0.
   737691.,  5083445.,  4, 43,      5.020E-01,     0,     0,    0.
   737691.,  5083495.,  4, 44,      4.821E-01,     0,     0,    0.
   737691.,  5083545.,  4, 45,      4.388E-01,     0,     0,    0.
   737691.,  5083595.,  4, 46,      3.726E-01,     0,     0,    0.
   737691.,  5083645.,  4, 47,      5.091E-01,     0,     0,    0.
   737691.,  5083695.,  4, 48,      5.106E-01,     0,     0,    0.
   737691.,  5083745.,  4, 49,      4.241E-01,     0,     0,    0.
   737691.,  5083795.,  4, 50,      4.239E-01,     0,     0,    0.
   737691.,  5083845.,  4, 51,      4.037E-01,     0,     0,    0.
   737691.,  5083895.,  4, 52,      3.642E-01,     0,     0,    0.
   737691.,  5083945.,  4, 53,      3.445E-01,     0,     0,    0.
   737691.,  5083995.,  4, 54,      4.100E-01,     0,     0,    0.
   737691.,  5084045.,  4, 55,      3.823E-01,     0,     0,    0.
   737691.,  5084095.,  4, 56,      3.918E-01,     0,     0,    0.
   737691.,  5084145.,  4, 57,      3.903E-01,     0,     0,    0.
   737691.,  5084195.,  4, 58,      3.995E-01,     0,     0,    0.
   737691.,  5084245.,  4, 59,      3.801E-01,     0,     0,    0.
   737691.,  5084295.,  4, 60,      3.993E-01,     0,     0,    0.
   737691.,  5084345.,  4, 61,      4.845E-01,     0,     0,    0.
   737691.,  5084395.,  4, 62,      4.624E-01,     0,     0,    0.
   737691.,  5084445.,  4, 63,      4.641E-01,     0,     0,    0.
   737691.,  5084495.,  4, 64,      4.098E-01,     0,     0,    0.
   737691.,  5084545.,  4, 65,      4.002E-01,     0,     0,    0.
   737691.,  5084595.,  4, 66,      3.668E-01,     0,     0,    0.
   737691.,  5084645.,  4, 67,      3.191E-01,     0,     0,    0.
   737691.,  5084695.,  4, 68,      2.874E-01,     0,     0,    0.
   737691.,  5084745.,  4, 69,      3.311E-01,     0,     0,    0.
   737691.,  5084795.,  4, 70,      3.042E-01,     0,     0,    0.
   737691.,  5084845.,  4, 71,      3.023E-01,     0,     0,    0.
   737691.,  5084895.,  4, 72,      2.848E-01,     0,     0,    0.
   737691.,  5084945.,  4, 73,      2.971E-01,     0,     0,    0.
   737691.,  5084995.,  4, 74,      3.030E-01,     0,     0,    0.
   737691.,  5085045.,  4, 75,      2.949E-01,     0,     0,    0.
   737691.,  5085095.,  4, 76,      2.670E-01,     0,     0,    0.
   737691.,  5085145.,  4, 77,      2.092E-01,     0,     0,    0.
   737691.,  5085195.,  4, 78,      2.370E-01,     0,     0,    0.
   737691.,  5085245.,  4, 79,      2.546E-01,     0,     0,    0.
   737691.,  5085295.,  4, 80,      2.524E-01,     0,     0,    0.
   737691.,  5085345.,  4, 81,      2.596E-01,     0,     0,    0.
   737691.,  5085395.,  4, 82,      2.710E-01,     0,     0,    0.
   737691.,  5085445.,  4, 83,      2.801E-01,     0,     0,    0.
   737691.,  5085495.,  4, 84,      2.462E-01,     0,     0,    0.
   737691.,  5085545.,  4, 85,      2.255E-01,     0,     0,    0.
   737691.,  5085595.,  4, 86,      2.061E-01,     0,     0,    0.
   737691.,  5085645.,  4, 87,      1.942E-01,     0,     0,    0.
   737691.,  5085695.,  4, 88,      1.777E-01,     0,     0,    0.
   737691.,  5085745.,  4, 89,      1.584E-01,     0,     0,    0.
   737691.,  5085795.,  4, 90,      1.536E-01,     0,     0,    0.
   737691.,  5085845.,  4, 91,      2.039E-01,     0,     0,    0.
   737691.,  5085895.,  4, 92,      2.622E-01,     0,     0,    0.
   737691.,  5085945.,  4, 93,      2.887E-01,     0,     0,    0.
   737691.,  5085995.,  4, 94,      2.539E-01,     0,     0,    0.
   737691.,  5086045.,  4, 95,      1.852E-01,     0,     0,    0.
